Country ID(FK),Link,remarks
Sweden,https://polisen.se/en/the-swedish-police/the-coronavirus-and-the-swedish-police/travel-to-and-from-sweden/#exempted,NULL
India,https://boi.gov.in/content/advisory-travel-and-visa-restrictions-related-covid-19-1,"Too much text, need to find way to organize the information first"
,https://www.mohfw.gov.in/,this link is useless now?
Turkey,https://www.visasturkey.com/travel-and-entry-restrictions/,"Boarding, blalalalal"
,https://www.visasturkey.com/vaccinations-for-turkey/,vaccine
Hong Kong,https://www.coronavirus.gov.hk/eng/inbound-travel.html,"Boarding, Vaccine, blalalalla"
,"https://www.coronavirus.gov.hk/eng/public-transport-faq.html#:~:text=The%20Regulation%20requires%20that%20all,that%20is%20not%20in%20service).",Facemask
